Batch_ID,Date,Raw_Material,Processing_Center,Inbound_Weight_KG,Processing_Waste_KG,Net_Yield_KG,Financial_Loss_INR
HS-BATCH-1336,2026-05-14,Nutraceutical Base,Center-A,2920,126,2794,15750
HS-BATCH-1337,2026-05-15,Ginger,Center-A,4594,429,4165,17160
HS-BATCH-1338,2026-05-15,Herbal Extract,Center-B,5841,714,5127,107100
HS-BATCH-1339,2026-05-15,Nutraceutical Base,Center-C,2409,134,2275,16750
HS-BATCH-1340,2026-05-15,Nutraceutical Base,Center-A,5802,395,5407,49375
HS-BATCH-1341,2026-05-15,Herbal Extract,Center-B,5566,676,4890,101400
HS-BATCH-1342,2026-05-15,Nutraceutical Base,Center-B,4190,182,4008,22750
HS-BATCH-1343,2026-05-15,Herbal Extract,Center-C,5491,758,4733,113700
HS-BATCH-1344,2026-05-15,Turmeric,Center-A,2555,223,2332,11150
HS-BATCH-1345,2026-05-15,Herbal Extract,Center-C,1804,239,1565,35850
HS-BATCH-1346,2026-05-15,Herbal Extract,Center-A,2279,319,1960,47850
HS-BATCH-1347,2026-05-15,Herbal Extract,Center-B,4577,556,4021,83400
HS-BATCH-1348,2026-05-15,Nutraceutical Base,Center-B,3901,173,3728,21625
HS-BATCH-1349,2026-05-15,Nutraceutical Base,Center-B,2387,166,2221,20750
HS-BATCH-1350,2026-05-15,Herbal Extract,Center-B,5688,902,4786,135300
HS-BATCH-1351,2026-05-15,Nutraceutical Base,Center-C,3761,150,3611,18750
HS-BATCH-1352,2026-05-15,Ginger,Center-A,3679,469,3210,18760
HS-BATCH-1353,2026-05-15,Ginger,Center-A,3106,347,2759,13880
HS-BATCH-1354,2026-05-15,Nutraceutical Base,Center-C,5223,344,4879,43000
HS-BATCH-1355,2026-05-15,Nutraceutical Base,Center-A,5831,312,5519,39000
HS-BATCH-1356,2026-05-15,Herbal Extract,Center-B,3768,529,3239,79350
HS-BATCH-1357,2026-05-15,Turmeric,Center-A,4953,344,4609,17200
HS-BATCH-1358,2026-05-15,Nutraceutical Base,Center-B,4186,251,3935,31375
HS-BATCH-1359,2026-05-15,Ginger,Center-C,4280,372,3908,14880
HS-BATCH-1360,2026-05-15,Herbal Extract,Center-A,3573,433,3140,64950
HS-BATCH-1361,2026-05-16,Nutraceutical Base,Center-C,5616,276,5340,34500
HS-BATCH-1362,2026-05-16,Ginger,Center-A,3599,414,3185,16560
HS-BATCH-1363,2026-05-16,Ginger,Center-B,5033,453,4580,18120
HS-BATCH-1364,2026-05-16,Turmeric,Center-C,1236,95,1141,4750
HS-BATCH-1365,2026-05-16,Herbal Extract,Center-A,2304,365,1939,54750
HS-BATCH-1366,2026-05-16,Herbal Extract,Center-B,4430,548,3882,82200
HS-BATCH-1367,2026-05-16,Turmeric,Center-C,2301,176,2125,8800
HS-BATCH-1368,2026-05-16,Turmeric,Center-C,3541,239,3302,11950
HS-BATCH-1369,2026-05-16,Herbal Extract,Center-A,3051,472,2579,70800
HS-BATCH-1370,2026-05-16,Herbal Extract,Center-A,1441,183,1258,27450
HS-BATCH-1371,2026-05-16,Nutraceutical Base,Center-A,3076,186,2890,23250
HS-BATCH-1372,2026-05-16,Nutraceutical Base,Center-B,4180,272,3908,34000
HS-BATCH-1373,2026-05-16,Turmeric,Center-A,3657,321,3336,16050
HS-BATCH-1374,2026-05-16,Nutraceutical Base,Center-C,4798,290,4508,36250
HS-BATCH-1375,2026-05-16,Ginger,Center-C,1804,189,1615,7560
HS-BATCH-1376,2026-05-16,Nutraceutical Base,Center-A,1074,62,1012,7750
HS-BATCH-1377,2026-05-16,Nutraceutical Base,Center-A,3175,209,2966,26125
HS-BATCH-1378,2026-05-16,Ginger,Center-C,4924,534,4390,21360
HS-BATCH-1379,2026-05-16,Turmeric,Center-B,3089,158,2931,7900
HS-BATCH-1380,2026-05-16,Ginger,Center-A,1040,131,909,5240
HS-BATCH-1381,2026-05-16,Nutraceutical Base,Center-A,3081,186,2895,23250
HS-BATCH-1382,2026-05-16,Turmeric,Center-C,5683,437,5246,21850
HS-BATCH-1383,2026-05-16,Nutraceutical Base,Center-A,2622,121,2501,15125
HS-BATCH-1384,2026-05-16,Ginger,Center-B,1341,151,1190,6040
HS-BATCH-1385,2026-05-17,Ginger,Center-C,5052,503,4549,20120
HS-BATCH-1386,2026-05-17,Nutraceutical Base,Center-A,3074,183,2891,22875
HS-BATCH-1387,2026-05-17,Herbal Extract,Center-C,1645,204,1441,30600
HS-BATCH-1388,2026-05-17,Herbal Extract,Center-A,5826,852,4974,127800
HS-BATCH-1389,2026-05-17,Ginger,Center-A,5263,684,4579,27360
HS-BATCH-1390,2026-05-17,Ginger,Center-A,1609,132,1477,5280
HS-BATCH-1391,2026-05-17,Herbal Extract,Center-B,1454,231,1223,34650
HS-BATCH-1392,2026-05-17,Herbal Extract,Center-B,3953,538,3415,80700
HS-BATCH-1393,2026-05-17,Nutraceutical Base,Center-C,2708,179,2529,22375
HS-BATCH-1394,2026-05-17,Nutraceutical Base,Center-A,4472,283,4189,35375
HS-BATCH-1395,2026-05-17,Herbal Extract,Center-A,3969,566,3403,84900
HS-BATCH-1396,2026-05-17,Nutraceutical Base,Center-B,4028,250,3778,31250
HS-BATCH-1397,2026-05-17,Nutraceutical Base,Center-A,5797,384,5413,48000
HS-BATCH-1398,2026-05-17,Turmeric,Center-B,3681,243,3438,12150
HS-BATCH-1399,2026-05-17,Nutraceutical Base,Center-A,4629,230,4399,28750
HS-BATCH-1400,2026-05-17,Ginger,Center-C,5225,592,4633,23680
HS-BATCH-1401,2026-05-17,Nutraceutical Base,Center-A,4067,261,3806,32625
HS-BATCH-1402,2026-05-17,Nutraceutical Base,Center-A,2386,150,2236,18750
HS-BATCH-1403,2026-05-17,Herbal Extract,Center-B,4776,725,4051,108750
HS-BATCH-1404,2026-05-17,Ginger,Center-A,3866,393,3473,15720
HS-BATCH-1405,2026-05-17,Nutraceutical Base,Center-A,5788,373,5415,46625
HS-BATCH-1406,2026-05-17,Nutraceutical Base,Center-B,4363,190,4173,23750
HS-BATCH-1407,2026-05-17,Turmeric,Center-C,5889,422,5467,21100
HS-BATCH-1408,2026-05-17,Nutraceutical Base,Center-C,5124,205,4919,25625
HS-BATCH-1409,2026-05-18,Nutraceutical Base,Center-B,1148,57,1091,7125
HS-BATCH-1410,2026-05-18,Turmeric,Center-B,4850,313,4537,15650
HS-BATCH-1411,2026-05-18,Herbal Extract,Center-B,3058,415,2643,62250
HS-BATCH-1412,2026-05-18,Nutraceutical Base,Center-B,2136,130,2006,16250
HS-BATCH-1413,2026-05-18,Turmeric,Center-B,1186,77,1109,3850
HS-BATCH-1414,2026-05-18,Ginger,Center-C,3854,394,3460,15760
HS-BATCH-1415,2026-05-18,Herbal Extract,Center-C,2250,291,1959,43650
HS-BATCH-1416,2026-05-18,Ginger,Center-B,2333,230,2103,9200
HS-BATCH-1417,2026-05-18,Ginger,Center-A,5193,474,4719,18960
HS-BATCH-1418,2026-05-18,Turmeric,Center-B,5150,272,4878,13600
HS-BATCH-1419,2026-05-18,Nutraceutical Base,Center-A,3711,215,3496,26875
HS-BATCH-1420,2026-05-18,Turmeric,Center-B,5853,449,5404,22450
HS-BATCH-1421,2026-05-18,Turmeric,Center-B,5501,411,5090,20550
HS-BATCH-1422,2026-05-18,Turmeric,Center-C,2785,190,2595,9500
HS-BATCH-1423,2026-05-18,Turmeric,Center-A,1750,114,1636,5700
HS-BATCH-1424,2026-05-18,Herbal Extract,Center-A,2762,426,2336,63900
HS-BATCH-1425,2026-05-18,Nutraceutical Base,Center-C,4920,273,4647,34125
HS-BATCH-1426,2026-05-18,Ginger,Center-C,5460,567,4893,22680
HS-BATCH-1427,2026-05-18,Ginger,Center-C,1481,120,1361,4800
HS-BATCH-1428,2026-05-18,Nutraceutical Base,Center-C,1153,57,1096,7125
HS-BATCH-1429,2026-05-18,Ginger,Center-A,2524,249,2275,9960
HS-BATCH-1430,2026-05-18,Nutraceutical Base,Center-A,3120,162,2958,20250
HS-BATCH-1431,2026-05-18,Ginger,Center-B,3343,364,2979,14560
HS-BATCH-1432,2026-05-18,Turmeric,Center-B,2240,159,2081,7950
HS-BATCH-1433,2026-05-19,Ginger,Center-C,1060,117,943,4680
HS-BATCH-1434,2026-05-19,Nutraceutical Base,Center-C,1938,121,1817,15125
HS-BATCH-1435,2026-05-19,Nutraceutical Base,Center-C,2639,169,2470,21125
HS-BATCH-1436,2026-05-19,Nutraceutical Base,Center-B,5120,315,4805,39375
HS-BATCH-1437,2026-05-19,Nutraceutical Base,Center-B,5226,358,4868,44750
HS-BATCH-1438,2026-05-19,Nutraceutical Base,Center-B,4569,185,4384,23125
HS-BATCH-1439,2026-05-19,Herbal Extract,Center-B,2252,287,1965,43050
HS-BATCH-1440,2026-05-19,Herbal Extract,Center-B,5203,625,4578,93750
HS-BATCH-1441,2026-05-19,Ginger,Center-B,1171,131,1040,5240
HS-BATCH-1442,2026-05-19,Nutraceutical Base,Center-B,2458,164,2294,20500
HS-BATCH-1443,2026-05-19,Ginger,Center-C,4549,419,4130,16760
HS-BATCH-1444,2026-05-19,Nutraceutical Base,Center-C,5197,352,4845,44000
HS-BATCH-1445,2026-05-19,Nutraceutical Base,Center-C,3322,138,3184,17250
HS-BATCH-1446,2026-05-19,Herbal Extract,Center-C,2636,414,2222,62100
HS-BATCH-1447,2026-05-19,Herbal Extract,Center-B,4115,551,3564,82650
HS-BATCH-1448,2026-05-19,Turmeric,Center-A,5090,275,4815,13750
HS-BATCH-1449,2026-05-19,Herbal Extract,Center-B,4004,558,3446,83700
HS-BATCH-1450,2026-05-19,Turmeric,Center-A,1329,80,1249,4000
HS-BATCH-1451,2026-05-19,Turmeric,Center-C,4640,284,4356,14200
HS-BATCH-1452,2026-05-19,Turmeric,Center-B,4894,304,4590,15200
HS-BATCH-1453,2026-05-19,Turmeric,Center-C,5107,419,4688,20950
HS-BATCH-1454,2026-05-19,Turmeric,Center-B,2341,167,2174,8350
HS-BATCH-1455,2026-05-19,Ginger,Center-C,4663,445,4218,17800
HS-BATCH-1456,2026-05-19,Herbal Extract,Center-A,1215,175,1040,26250
HS-BATCH-1457,2026-05-20,Turmeric,Center-A,1338,105,1233,5250
HS-BATCH-1458,2026-05-20,Nutraceutical Base,Center-A,5062,243,4819,30375
HS-BATCH-1459,2026-05-20,Herbal Extract,Center-B,3708,506,3202,75900
HS-BATCH-1460,2026-05-20,Herbal Extract,Center-A,4152,518,3634,77700
HS-BATCH-1461,2026-05-20,Turmeric,Center-B,2750,157,2593,7850
HS-BATCH-1462,2026-05-20,Ginger,Center-A,3421,390,3031,15600
HS-BATCH-1463,2026-05-20,Turmeric,Center-A,1709,97,1612,4850
HS-BATCH-1464,2026-05-20,Ginger,Center-B,4726,502,4224,20080
HS-BATCH-1465,2026-05-20,Nutraceutical Base,Center-B,4642,284,4358,35500
HS-BATCH-1466,2026-05-20,Herbal Extract,Center-A,4993,620,4373,93000
HS-BATCH-1467,2026-05-20,Nutraceutical Base,Center-B,1488,84,1404,10500
HS-BATCH-1468,2026-05-20,Ginger,Center-A,1046,97,949,3880
HS-BATCH-1469,2026-05-20,Ginger,Center-B,4359,558,3801,22320
HS-BATCH-1470,2026-05-20,Nutraceutical Base,Center-C,5873,320,5553,40000
HS-BATCH-1471,2026-05-20,Ginger,Center-C,5806,698,5108,27920
HS-BATCH-1472,2026-05-20,Nutraceutical Base,Center-C,1400,79,1321,9875
HS-BATCH-1473,2026-05-20,Herbal Extract,Center-C,4990,607,4383,91050
HS-BATCH-1474,2026-05-20,Nutraceutical Base,Center-C,4157,245,3912,30625
HS-BATCH-1475,2026-05-20,Herbal Extract,Center-A,5345,844,4501,126600
HS-BATCH-1476,2026-05-20,Nutraceutical Base,Center-C,1390,80,1310,10000
HS-BATCH-1477,2026-05-20,Ginger,Center-C,4853,587,4266,23480
HS-BATCH-1478,2026-05-20,Nutraceutical Base,Center-C,5430,361,5069,45125
HS-BATCH-1479,2026-05-20,Ginger,Center-C,1628,148,1480,5920
HS-BATCH-1480,2026-05-20,Nutraceutical Base,Center-B,5232,242,4990,30250
HS-BATCH-1481,2026-05-21,Nutraceutical Base,Center-A,3930,229,3701,28625
HS-BATCH-1482,2026-05-21,Turmeric,Center-C,2521,167,2354,8350
HS-BATCH-1483,2026-05-21,Ginger,Center-C,1826,222,1604,8880
HS-BATCH-1484,2026-05-21,Turmeric,Center-C,5822,500,5322,25000
HS-BATCH-1485,2026-05-21,Ginger,Center-A,2500,244,2256,9760
HS-BATCH-1486,2026-05-21,Turmeric,Center-B,4294,255,4039,12750
HS-BATCH-1487,2026-05-21,Herbal Extract,Center-A,3419,517,2902,77550
HS-BATCH-1488,2026-05-21,Nutraceutical Base,Center-B,1934,93,1841,11625
HS-BATCH-1489,2026-05-21,Ginger,Center-C,4042,489,3553,19560
HS-BATCH-1490,2026-05-21,Ginger,Center-C,5497,556,4941,22240
HS-BATCH-1491,2026-05-21,Nutraceutical Base,Center-A,2466,148,2318,18500
HS-BATCH-1492,2026-05-21,Ginger,Center-A,4561,386,4175,15440
HS-BATCH-1493,2026-05-21,Ginger,Center-B,1614,179,1435,7160
HS-BATCH-1494,2026-05-21,Turmeric,Center-B,2182,148,2034,7400
HS-BATCH-1495,2026-05-21,Ginger,Center-A,4223,461,3762,18440
HS-BATCH-1496,2026-05-21,Herbal Extract,Center-B,3667,464,3203,69600
HS-BATCH-1497,2026-05-21,Herbal Extract,Center-A,1130,168,962,25200
HS-BATCH-1498,2026-05-21,Nutraceutical Base,Center-B,3983,262,3721,32750
HS-BATCH-1499,2026-05-21,Ginger,Center-A,5278,479,4799,19160
HS-BATCH-1500,2026-05-21,Nutraceutical Base,Center-A,5459,234,5225,29250
HS-BATCH-1501,2026-05-21,Herbal Extract,Center-A,1038,125,913,18750
HS-BATCH-1502,2026-05-21,Ginger,Center-B,4959,555,4404,22200
HS-BATCH-1503,2026-05-21,Ginger,Center-B,4587,506,4081,20240
HS-BATCH-1504,2026-05-21,Nutraceutical Base,Center-B,1920,108,1812,13500
HS-BATCH-1505,2026-05-22,Herbal Extract,Center-A,3769,487,3282,73050
HS-BATCH-1506,2026-05-22,Ginger,Center-B,5111,508,4603,20320
HS-BATCH-1507,2026-05-22,Nutraceutical Base,Center-B,1492,86,1406,10750
HS-BATCH-1508,2026-05-22,Herbal Extract,Center-A,2131,298,1833,44700
HS-BATCH-1509,2026-05-22,Nutraceutical Base,Center-C,4521,314,4207,39250
HS-BATCH-1510,2026-05-22,Turmeric,Center-A,1310,72,1238,3600
HS-BATCH-1511,2026-05-22,Ginger,Center-B,1738,199,1539,7960
HS-BATCH-1512,2026-05-22,Turmeric,Center-A,4241,280,3961,14000
HS-BATCH-1513,2026-05-22,Herbal Extract,Center-C,1545,211,1334,31650
HS-BATCH-1514,2026-05-22,Turmeric,Center-A,3461,272,3189,13600
HS-BATCH-1515,2026-05-22,Turmeric,Center-B,5346,415,4931,20750
HS-BATCH-1516,2026-05-22,Herbal Extract,Center-C,5854,934,4920,140100
HS-BATCH-1517,2026-05-22,Nutraceutical Base,Center-B,2804,122,2682,15250
HS-BATCH-1518,2026-05-22,Turmeric,Center-C,4212,228,3984,11400
HS-BATCH-1519,2026-05-22,Nutraceutical Base,Center-C,4810,296,4514,37000
HS-BATCH-1520,2026-05-22,Turmeric,Center-A,1813,132,1681,6600
HS-BATCH-1521,2026-05-22,Nutraceutical Base,Center-A,5124,247,4877,30875
HS-BATCH-1522,2026-05-22,Herbal Extract,Center-B,3032,373,2659,55950
HS-BATCH-1523,2026-05-22,Turmeric,Center-A,5572,297,5275,14850
HS-BATCH-1524,2026-05-22,Herbal Extract,Center-A,5413,843,4570,126450
HS-BATCH-1525,2026-05-22,Turmeric,Center-C,1244,71,1173,3550
HS-BATCH-1526,2026-05-22,Herbal Extract,Center-A,5843,776,5067,116400
HS-BATCH-1527,2026-05-22,Herbal Extract,Center-C,5792,747,5045,112050
HS-BATCH-1528,2026-05-22,Turmeric,Center-C,1271,81,1190,4050
HS-BATCH-1529,2026-05-23,Turmeric,Center-C,4511,238,4273,11900
HS-BATCH-1530,2026-05-23,Turmeric,Center-B,2771,196,2575,9800
HS-BATCH-1531,2026-05-23,Ginger,Center-B,2262,188,2074,7520
HS-BATCH-1532,2026-05-23,Nutraceutical Base,Center-B,3424,219,3205,27375
HS-BATCH-1533,2026-05-23,Ginger,Center-C,5361,491,4870,19640
HS-BATCH-1534,2026-05-23,Ginger,Center-B,1920,205,1715,8200
HS-BATCH-1535,2026-05-23,Herbal Extract,Center-B,4430,687,3743,103050
HS-BATCH-1536,2026-05-23,Turmeric,Center-A,5435,413,5022,20650
HS-BATCH-1537,2026-05-23,Nutraceutical Base,Center-B,5484,307,5177,38375
HS-BATCH-1538,2026-05-23,Herbal Extract,Center-B,3624,481,3143,72150
HS-BATCH-1539,2026-05-23,Ginger,Center-C,4760,460,4300,18400
HS-BATCH-1540,2026-05-23,Turmeric,Center-C,3050,234,2816,11700
HS-BATCH-1541,2026-05-23,Herbal Extract,Center-C,4500,718,3782,107700
HS-BATCH-1542,2026-05-23,Turmeric,Center-C,2165,165,2000,8250
HS-BATCH-1543,2026-05-23,Herbal Extract,Center-C,1375,195,1180,29250
HS-BATCH-1544,2026-05-23,Turmeric,Center-C,3033,240,2793,12000
HS-BATCH-1545,2026-05-23,Ginger,Center-B,1145,118,1027,4720
HS-BATCH-1546,2026-05-23,Nutraceutical Base,Center-C,5388,225,5163,28125
HS-BATCH-1547,2026-05-23,Ginger,Center-C,1431,154,1277,6160
HS-BATCH-1548,2026-05-23,Nutraceutical Base,Center-A,1704,117,1587,14625
HS-BATCH-1549,2026-05-23,Turmeric,Center-B,3632,207,3425,10350
HS-BATCH-1550,2026-05-23,Herbal Extract,Center-B,5494,810,4684,121500
